,learning_rate,epochs,n_split,random_sees,hidden_size,l2,num_layer,last_fc_hidden_size,genetics_embedding_size,trainable_parameters,physics_weight,y_max_bound,smooth_loss,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW
0,0.001,1830,0,1,5,1.0,1,3,3,393,2,True,False,0.047,0.079,0.073,0.137,0.16,0.114
0,0.001,1850,0,2,5,1.0,1,3,3,393,2,True,False,0.037,0.08,0.064,0.108,0.151,0.094
0,0.001,2980,0,3,5,1.0,1,3,3,393,2,True,False,0.035,0.086,0.049,0.104,0.134,0.091
0,0.001,2210,0,4,5,1.0,1,3,3,393,2,True,False,0.037,0.086,0.061,0.117,0.158,0.106
0,0.001,2950,0,5,5,1.0,1,3,3,393,2,True,False,0.042,0.077,0.073,0.122,0.156,0.112
0,0.001,2260,0,1,5,1.0,1,5,3,409,2,True,False,0.036,0.069,0.075,0.107,0.136,0.088
0,0.001,2070,0,2,5,1.0,1,5,3,409,2,True,False,0.031,0.096,0.049,0.099,0.143,0.095
0,0.001,2690,0,3,5,1.0,1,5,3,409,2,True,False,0.035,0.067,0.057,0.105,0.137,0.083
0,0.001,2980,0,4,5,1.0,1,5,3,409,2,True,False,0.037,0.085,0.041,0.109,0.142,0.096
0,0.001,1750,0,5,5,1.0,1,5,3,409,2,True,False,0.038,0.07,0.071,0.115,0.143,0.101
0,0.001,2320,0,1,5,1.0,1,3,5,443,2,True,False,0.044,0.069,0.079,0.125,0.151,0.116
0,0.001,1520,0,2,5,1.0,1,3,5,443,2,True,False,0.037,0.068,0.077,0.111,0.133,0.104
0,0.001,2870,0,3,5,1.0,1,3,5,443,2,True,False,0.034,0.082,0.067,0.105,0.131,0.095
0,0.001,2820,0,4,5,1.0,1,3,5,443,2,True,False,0.042,0.084,0.069,0.123,0.159,0.107
0,0.001,2800,0,5,5,1.0,1,3,5,443,2,True,False,0.035,0.084,0.041,0.106,0.135,0.082
0,0.001,1940,0,1,5,1.0,1,5,5,463,2,True,False,0.046,0.061,0.09,0.117,0.135,0.097
0,0.001,2220,0,2,5,1.0,1,5,5,463,2,True,False,0.031,0.077,0.049,0.096,0.132,0.085
0,0.001,2010,0,3,5,1.0,1,5,5,463,2,True,False,0.038,0.064,0.063,0.109,0.134,0.086
0,0.001,1930,0,4,5,1.0,1,5,5,463,2,True,False,0.04,0.063,0.071,0.113,0.14,0.097
0,0.001,2800,0,5,5,1.0,1,5,5,463,2,True,False,0.031,0.069,0.052,0.1,0.128,0.085
