,genotype_id
0,31
1,33
2,36
3,39
4,40
5,41
6,42
7,43
8,44
9,45
10,46
11,48
12,50
13,49
14,52
15,51
16,54
17,53
18,56
19,55
20,58
21,57
22,60
23,62
24,61
25,64
26,63
27,65
28,66
29,67
30,68
31,69
32,70
33,71
34,72
35,73
36,75
37,76
38,79
39,81
40,3
41,82
42,83
43,84
44,85
45,88
46,89
47,90
48,91
49,92
50,14
51,93
52,94
53,96
54,97
55,98
56,100
57,101
58,102
59,103
60,104
61,106
62,107
63,108
64,109
65,110
66,111
67,112
68,113
69,114
70,115
71,116
72,117
73,118
74,121
75,122
76,123
77,124
78,125
79,126
80,128
81,129
82,130
83,131
84,133
85,134
86,135
87,136
88,137
89,138
90,140
91,141
92,142
93,144
94,7
95,145
96,146
97,148
98,149
99,150
100,151
101,152
102,153
103,154
104,155
105,156
106,157
107,159
108,160
109,161
110,13
111,162
112,163
113,164
114,166
115,167
116,168
117,170
118,171
119,172
120,175
121,176
122,177
123,179
124,180
125,181
126,183
127,184
128,185
129,187
130,188
131,189
132,190
133,191
134,5
135,192
136,193
137,194
138,195
139,196
140,197
141,198
142,200
143,201
144,202
145,205
146,206
147,208
148,209
149,210
150,211
151,212
152,213
153,214
154,30
155,215
156,216
157,218
158,219
159,220
160,2
161,17
162,223
163,224
164,225
165,226
166,227
167,228
168,229
169,230
170,231
171,232
172,233
173,235
174,236
175,237
176,238
177,239
178,240
179,242
180,243
181,244
182,245
183,248
184,249
185,251
186,252
187,253
188,254
189,256
190,258
191,259
192,260
193,262
194,263
195,264
196,266
197,267
198,269
199,270
200,271
201,272
202,273
203,274
204,275
205,276
206,277
207,278
208,279
209,280
210,282
211,283
212,284
213,285
214,286
215,287
216,288
217,289
218,290
219,291
220,292
221,293
222,294
223,295
224,296
225,297
226,298
227,299
228,300
229,301
230,302
231,303
232,304
233,305
234,307
235,308
236,309
237,310
238,311
239,313
240,314
241,316
242,317
243,318
244,320
245,319
246,321
247,322
248,324
249,325
250,326
251,327
252,328
253,329
254,330
255,331
256,332
257,333
258,334
259,335
260,336
261,337
262,338
263,339
264,340
265,341
266,342
267,343
268,344
269,345
270,346
271,347
272,349
273,352
274,353
275,354
276,355
277,356
278,357
279,6
280,358
281,359
282,362
283,363
284,364
285,365
286,366
287,367
288,368
289,369
290,370
291,371
292,372
293,373
294,374
295,375
296,376
297,377
298,378
299,380
300,381
301,382
302,383
303,384
304,385
305,386
306,387
307,388
308,389
