,r,Mmax
0,0.5881090760231018,0.9039944410324097
0,0.4347861707210541,0.9307280778884888
0,0.5624090433120728,0.9115278124809265
0,0.6263840198516846,0.9107465744018555
0,0.5331262350082397,0.8842399716377258
0,0.3537565767765045,0.9018843770027161
0,0.18276071548461914,0.9681787490844727
0,0.6492563486099243,0.9045525789260864
0,0.38050976395606995,0.7134538292884827
0,0.2785086929798126,0.9474139213562012
0,0.38270625472068787,0.7847678065299988
0,0.5837746262550354,0.9662562608718872
0,0.5094597935676575,0.9144455194473267
0,0.17827793955802917,0.9536423683166504
0,0.21000179648399353,0.44433504343032837
0,0.6110024452209473,0.9559402465820312
0,0.31421205401420593,0.7675588726997375
0,0.2766096293926239,0.6491497755050659
0,0.2768927216529846,0.7014899253845215
0,0.6165204644203186,0.9309604167938232
0,0.5194700360298157,0.7268866300582886
0,0.5920131206512451,0.6710598468780518
0,0.6209676265716553,0.9396213889122009
0,0.6115145683288574,0.9440611600875854
0,0.4906710684299469,0.8702059388160706
0,0.5476171374320984,0.8831874132156372
0,0.5930359363555908,0.938141405582428
0,0.5272207856178284,0.9253831505775452
0,0.6151418685913086,0.9275532364845276
0,0.22510318458080292,1.0117045640945435
0,0.6052746176719666,0.8714234232902527
0,-0.06836383044719696,0.8120695352554321
0,0.19909998774528503,0.9355683922767639
0,0.5443918704986572,0.6701666712760925
0,0.1960466504096985,0.6964428424835205
0,0.34301820397377014,0.7188819050788879
0,0.33198288083076477,0.7454351782798767
0,0.49702194333076477,0.8897919058799744
0,0.569423258304596,0.9705875515937805
0,0.5768312215805054,0.6369307637214661
0,0.32700756192207336,0.9259212613105774
0,0.5957498550415039,0.9438283443450928
0,0.4533592164516449,0.9513232111930847
0,0.5989681482315063,0.8084928393363953
0,0.5264877676963806,0.7147462368011475
0,0.2509250342845917,0.7845261693000793
0,0.28687506914138794,0.8928261995315552
0,0.6608033180236816,0.9454234838485718
0,0.20993636548519135,0.5948561429977417
0,0.345813125371933,0.8282449245452881
0,0.4022897481918335,0.5916018486022949
0,0.48130002617836,0.9434060454368591
0,0.6470282673835754,0.9510791897773743
0,0.5668917298316956,0.9181519746780396
0,0.6316134929656982,0.936008870601654
0,0.6783952116966248,0.9623445272445679
0,0.603085994720459,0.9446984529495239
0,0.1278809756040573,1.004593849182129
0,0.5312695503234863,0.9255977869033813
0,0.5897269248962402,0.9300056099891663
0,0.295751690864563,0.6862934231758118
0,0.0004470024141483009,0.503512442111969
0,0.556702733039856,0.8973557949066162
0,0.54656982421875,0.9217804074287415
0,0.3032364845275879,0.9081856608390808
0,0.6653622388839722,0.9472165107727051
0,0.5138041377067566,0.889596700668335
0,0.3900825083255768,0.9546631574630737
0,0.5400838851928711,0.9348893761634827
0,0.18814218044281006,0.696236789226532
0,0.5663922429084778,0.5894750952720642
0,0.5899689197540283,0.9146941900253296
0,-0.04015856608748436,0.7049988508224487
0,0.47403520345687866,0.8475114107131958
0,0.4861027002334595,0.4432426989078522
0,0.5836900472640991,0.9354308247566223
0,0.6782045364379883,0.9139928221702576
0,0.5792868733406067,0.9474908709526062
0,0.48169106245040894,0.8741723299026489
0,0.5922654867172241,0.9186244010925293
0,0.33843520283699036,0.5494550466537476
0,0.38487812876701355,0.7338166832923889
0,0.500656247138977,0.5714496374130249
0,0.3154675364494324,0.877540111541748
0,0.30863502621650696,0.7261601090431213
0,0.16776742041110992,0.9907097816467285
0,0.3533675968647003,0.9649670124053955
0,0.15664508938789368,0.49211984872817993
0,0.18126890063285828,0.9839658141136169
0,-0.03021918796002865,0.3842330276966095
0,0.3683663010597229,0.7833420634269714
0,0.5895804166793823,0.9219319820404053
0,0.5722788572311401,0.6799755096435547
0,0.5743421912193298,0.9244316220283508
0,0.27869516611099243,0.9757755994796753
0,0.3941532075405121,0.9357937574386597
0,0.5652967095375061,0.8924386501312256
0,0.6183377504348755,0.9359963536262512
0,0.5937830209732056,0.9316085577011108
0,0.560173749923706,0.6820359230041504
0,0.25615420937538147,0.9711223840713501
0,0.0013002878986299038,0.7833768129348755
0,0.31849172711372375,0.4943069517612457
0,0.2142164707183838,0.9370194673538208
0,0.6691933870315552,0.920809805393219
0,0.12991727888584137,1.0260140895843506
0,0.33571821451187134,0.7781075239181519
0,0.5982233881950378,0.9146633744239807
0,0.6294500827789307,0.9341588020324707
0,0.4190836250782013,0.7099912762641907
0,0.26083439588546753,0.8457368612289429
0,0.45638033747673035,0.9493000507354736
0,-0.043095655739307404,0.7668524384498596
0,0.4869799315929413,0.9470237493515015
0,-0.05051141232252121,0.7996475696563721
0,0.347170352935791,0.8539707064628601
0,0.19568514823913574,0.9208656549453735
0,0.586982011795044,0.617145836353302
0,0.6880612969398499,0.9582107663154602
0,0.11893048137426376,0.9961749911308289
0,0.134272500872612,0.787669837474823
0,0.14024485647678375,1.035145878791809
0,0.5368818640708923,0.8997521996498108
0,0.5392603874206543,0.9100490808486938
0,0.34679847955703735,0.9116290211677551
0,0.3339731693267822,0.9452828764915466
0,0.600814163684845,0.9270352721214294
0,0.650875985622406,0.9332678914070129
0,0.23214009404182434,0.9606927037239075
0,0.15973122417926788,0.36181217432022095
0,0.26317745447158813,0.5703684091567993
0,0.24853333830833435,0.6971169710159302
0,0.5103450417518616,0.7003864049911499
0,0.6373310685157776,0.9347378611564636
0,0.1539994478225708,0.9407486915588379
0,0.14622671902179718,1.0080190896987915
0,0.00014466678840108216,0.7647594213485718
0,0.6083366274833679,0.9511147141456604
0,-0.03566854074597359,0.6917833685874939
0,0.23948372900485992,0.9771090745925903
0,0.6050986051559448,0.7895579934120178
0,0.5580768585205078,0.860638439655304
0,0.5333271622657776,0.9445208311080933
0,-0.05065625160932541,0.49747538566589355
0,0.589793860912323,0.9431090950965881
0,0.3711881935596466,0.7265682220458984
0,0.615132212638855,0.816658079624176
0,0.14101077616214752,0.990256667137146
0,0.25088387727737427,0.7447104454040527
0,0.6261624693870544,0.9062232971191406
0,0.6366854906082153,0.8950594663619995
0,0.021842973306775093,0.6283462047576904
0,0.45445799827575684,0.6889225244522095
0,0.5007226467132568,0.6595028042793274
0,-0.09461870789527893,0.5640793442726135
0,0.23640531301498413,0.8548317551612854
0,0.18690931797027588,0.9765397906303406
0,0.12183188647031784,1.0048184394836426
0,0.5721925497055054,0.9618522524833679
0,0.2004750370979309,0.7138609886169434
0,0.2999093532562256,0.8810981512069702
0,0.15616469085216522,0.9816873073577881
0,0.32179659605026245,0.9827651977539062
0,-0.10451461374759674,0.7120283842086792
0,0.2257080078125,0.9945055246353149
0,-0.00031032663537189364,0.8392506837844849
0,0.3810589015483856,0.9266029596328735
0,0.14664800465106964,0.9924560785293579
0,0.6069180965423584,0.9265646934509277
0,0.20684614777565002,0.6647747755050659
0,0.4628503620624542,0.8862141370773315
0,0.5872478485107422,0.7510141730308533
0,-0.1535840928554535,0.6513304114341736
0,0.4942256212234497,0.8865510821342468
0,0.12983761727809906,0.9890243411064148
0,0.2166305035352707,0.969319760799408
0,0.1793307214975357,0.5716466307640076
0,0.11847756803035736,1.03020179271698
0,-0.00010912432480836287,0.7918290495872498
0,0.5617603659629822,0.9007117748260498
0,0.31537002325057983,0.5058212280273438
0,0.2827097773551941,0.7524110674858093
0,-0.03684369474649429,0.6582819223403931
0,0.37731122970581055,0.8504714965820312
0,0.4423331618309021,0.7508271336555481
0,-0.05330495163798332,0.733823835849762
0,0.2705174684524536,0.7484807372093201
0,-0.052057646214962006,0.7856846451759338
0,0.5578173398971558,0.9587936401367188
0,0.6002273559570312,0.7770395874977112
0,0.4932262599468231,0.9116899967193604
0,0.277707576751709,0.9856244921684265
0,0.17675112187862396,0.9169190526008606
0,0.3491920232772827,0.9485793113708496
0,0.14667396247386932,0.8816924691200256
0,0.15088383853435516,0.5509446859359741
0,0.6444000601768494,0.9129980802536011
0,0.5854588150978088,0.9745215773582458
0,0.12067969143390656,0.9930797219276428
0,0.5922579169273376,0.9410242438316345
0,0.5427530407905579,0.9133484363555908
0,0.5496525764465332,0.881230890750885
0,0.5806840658187866,0.9321931004524231
0,0.1315479278564453,1.0061683654785156
0,0.449206680059433,0.6216188669204712
